,de,,en,eo,pl
,,,,,
,Adresse,,address,adreso,adres
,Arbeit,,work,laboro,praca
r,Beruf,,profession,metio,zawód
,Beziehung,,relationship,rilato,związek (relacja)
,Einzelkind,,,solinfano,jedynak
,Familienstand,,marital status,civita stato,stan cywilny
,Freizeit,,leisure,gefratoj,wolny czas
,Freund,,friend,amiko,przyjaciel
,Führerschein,,driver license,kondukpermesilo,prawojazdy
r,Geburtsdatum,,birthday,naskiĝtago,data urodzin
,Geburtstag,,birthday,naskiĝtago,urodziny
e,Geschwister,,sibling,gefratoj,rodzeństwo
,Haustier,e,pet,dorlotbesto,pieszczoch domowy
,Jahr,,year,jaro,rok
,Nachname,,surname,familia nomo,nazwisko
r,Personalbogen,,,,formularz osobowy
s,Personalformular,,,,formularz osobowy
,Vorname,,firstname,antaŭnomo,imię
,Witwer,,widower,vidvo,wdowiec
,Zuname,,surname,familia nomo,nazwisko
,,,,,
,arbeiten,,work,labori,pracować
,gebären,,bear,naski,urodzić
,wohnen,,live,loĝi ,żyć
,,,,,
,geboren,,born,naskita,urodzony
,geschieden,,divorced,"eksedz(in)iĝinta,",rozwiedziony
,jung,,young,juna;,młody
,ledig,,unmarried,fraŭla,stanu wolnego
,verlobt,,,,zaręczony
,,,,,
,gern,,gladly,volonte,ochoczo
,zurzeit,,currently,nuntempe,obecnie
,,,,,
,seit,,since,depost,od
,,,,,
,welche,,which,kiu,który
