eo,de.a,de,de.f,en,pl,_,0,bazo
adreso,,Adresse,,address,adres,o,1,
laboro,,Arbeit,,work,praca,o,1,
metio,,Beruf,,profession,zawód,o,1,
rilato,,Beziehung,,relationship,związek (relacja),o,1,
solinfano,,Einzelkind,,,jedynak,o,1,
civita stato,,Familienstand,,marital status,stan cywilny,o,1,
gefratoj,,Freizeit,,leisure,wolny czas,o,1,
amiko,,Freund,,friend,przyjaciel,o,1,
kondukpermesilo,,Führerschein,,driver license,prawo jazdy,o,1,
naskiĝtago,,Geburtsdatum,,birthday,data urodzin,o,1,
naskiĝtago,,Geburtstag,,birthday,urodziny,o,1,
ilaro,,Gerät,,device,urządzenie,o,1,
gefratoj,,Geschwister,,sibling,rodzeństwo,o,1,
dorlotbesto,,Haustier,,pet,pieszczoch domowy,o,1,
"helpo,",e,Hielfe,,help,pomoc,o,1,
jaro,,Jahr,,year,rok,o,1,
aero,,Luft,,air,powietrze,o,1,
membro,,Mitglied,,member,członek,o,1,
familia nomo,,Nachname,,surname,nazwisko,o,1,
plano,,Plan,,"plan, design, scheme, diagram",plan,o,1,
bileto,s,Ticket,,ticket,bilet,o,1,
antaŭnomo,,Vorname,,firstname,imię,o,1,
vidvo,,Witwer,,widower,wdowiec,o,1,
tempo,,Zeit,,"time, while","czas, tempo, pora",o,1,
futuro,e,Zukunft; Gram Futur,,future tense,przyszłość,o,1,
familia nomo,,Zuname,,surname,nazwisko,o,1,
labori,,arbeiten,,to work,pracować,i,2,
konsili,,beraten,,to advise,doradzać,i,2,
pensi,,denken,,to think,myśleć,i,2,
trovi,,finden,,to find,"znaleźć, znajdować",i,2,
naski,,gebären,,to bear,urodzić,i,2,
informi,,informieren,,to inform,informować,i,2,
kontroli,,kontrollieren,,to control,kontrolować,i,2,
gvidi,,leiten,,to guide,prowadzić/kierować,i,2,
voki,,rufen,,to call,wołać,i,2,
paroli,,sprechen,,to speak,rozmawiać,i,2,
telefoni,,telefonieren,,to phone,dzwonić,i,2,
renkonti,,treffen,,to meet,spotykać,i,2,
loĝi ,,wohnen,,to live,żyć,i,2,
elasta,,"elastisch, federnd, dehnbar",,elastic,elastyczny,a,3,
naskita,,geboren,,born,urodzony,a,3,
"eksedz(in)iĝinta,",,geschieden,,divorced,rozwiedziony,a,3,
juna;,,jung,,young,młody,a,3,
fraŭla,,ledig,,unmarried,stanu wolnego,a,3,
volonte,,gern,,gladly,ochoczo,e,4,
foje,,manchmal,,"sometime, once, at some time; sometimes","raz, pewnego razu, czasami",e,4,
kelkfoje,,manchmal,,several times; sometimes,kilkakrotnie,e,4,
malmulte,,wenig,,little; not much,mało,e,4,
nuntempe,,zurzeit,,currently,obecnie,e,4,
