adreso,Adresse,address,adres
laboro,Arbeit,work,praca
metio,Beruf,profession,zawód
rilato,Beziehung,relationship,związek (relacja)
solinfano,Einzelkind,,jedynak
civita stato,Familienstand,marital status,stan cywilny
gefratoj,Freizeit,leisure,wolny czas
amiko,Freund,friend,przyjaciel
kondukpermesilo,Führerschein,driver license,prawojazdy
naskiĝtago,Geburtsdatum,birthday,data urodzin
naskiĝtago,Geburtstag,birthday,urodziny
gefratoj,Geschwister,sibling,rodzeństwo
dorlotbesto,Haustier,pet,pieszczoch domowy
jaro,Jahr,year,rok
familia nomo,Nachname,surname,nazwisko
,Personalbogen,,formularz osobowy
,Personalformular,,formularz osobowy
antaŭnomo,Vorname,firstname,imię
vidvo,Witwer,widower,wdowiec
familia nomo,Zuname,surname,nazwisko
,,,
labori,arbeiten,work,pracować
naski,gebären,bear,urodzić
loĝi ,wohnen,live,żyć
,,,
naskita,geboren,born,urodzony
"eksedz(in)iĝinta,",geschieden,divorced,rozwiedziony
juna;,jung,young,młody
fraŭla,ledig,unmarried,stanu wolnego
,verlobt,,zaręczony
,,,
volonte,gern,gladly,ochoczo
nuntempe,zurzeit,currently,obecnie
,,,
depost,seit,since,od
,,,
kiu,welche,which,który
