eo,de.a,de,de.f,en,pl,_,0,bazo
agentejo,,Agentur,,agency,agencja,o,1,
oficejo,,Amt,,office,biuro; urząd,o,1,
jako,r,Anorak,,jacket,skafander,o,1,
laboro,e,Arbeit,,work,praca,o,1,
laboroagentejo,,Arbeitsagentur,,employment Agency,agencja pracy,o,1,
laboroficejo,,Arbeitsamt,,employment exchange,urząd pracy,o,1,
senlaboreco,,Arbeitslosigkeit,,unemployment,bezrobocie,o,1,
labormerkato,,Arbeitsmarkt,,labour market,rynek pracy,o,1,
labortempo,,Arbeitszeit,,work time,czas pracy,o,1,
brako,,Arm,,arm,ręka,o,1,
eksterlando,,Ausland,,foreign country,za granicą,o,1,
aŭto,,Auto,,car,samochód,o,1,
automodel,s,Automodell,,car model,model samochodu,o,1,
konato,,Bekannte,,acquaintance,znajomy,o,1,
komputo,,Berechnung,,computation,obliczenie ,o,1,
krajono,r,Bleistift,,pencil,ołówek,o,1,
okulvitroj,e,Brille,,eyeglasses,okulary,o,1,
libro,s,Buch,,book,książka,o,1,
ĉefo,r,Chef,,chef,shef,o,1,
komputilo,r,Computer,,computer,komputer,o,1,
manĝo,,Essen,,meal,posiłek,o,1,
televido,,Fernsehen,,television,telewizja,o,1,
printempo,,Frühjahr,,spring,wiosna,o,1,
gvidisto;konduktoro,,Führer,,guide,przewodnik,o,1,
riĉeco,e,Fülle,,wealth; abundance,bogactwo,o,1,
salajro,s,Gehalt,,"salary, wages, wage",pensja,o,1,
mono,s,Geld,,money,pieniądze,o,1,
ilaro; vazaro,s,Gerät,e,device,urządzenie,o,1,
Grekio,,Griechenland,,Greece,Grecja,o,1,
valizo,,Handkoffer,,"suitcase, valise",walizka,o,1,
ganto,e,Handschuh,e,glove,rękawiczka,o,1,
mantuko,s,Handtuch,,towel,ręcznik,o,1,
poŝtelefono,s,Handy,,mobile phone,komórka,o,1,
ĉemizo,s,Hemd,,shirt,koszula,o,1,
aŭtuno,,Herbst,,autumn,jesień,o,1,
pantalono,e,Hose,,pants,spodnie,o,1,
kafo,r,Kaffee,,coffee,kawa,o,1,
kando,,Kandy,,candy,cukierek,o,1,
kofro,r,Koffer,,trunk,kufer,o,1,
kosmetikoj,e,Kosmetika,,cosmetics,kosmetyki,o,1,
kurso,r,Kurs,,course,kurs,o,1,
poŝto,e,Mail,,mail,mail,o,1,
merkato,,Markt,,market,rynek,o,1,
muso,,Maus,,mouse,mysz,o,1,
homoj,e,Menschen,,people,ludzie,o,1,
membro,,Mitglied,,member,członek,o,1,
modelo,s,Modell,,model,model,o,1,
ĉapo,e,Mütze,,cap,czapka,o,1,
nazo,,Nase,,nose,nos,o,1,
noto,e,Note,,note,ocena,o,1,
pico,e,Pizza,,pizza,pizza,o,1,
plano,r,Plan,,plane,plan,o,1,
fumado,,Rauchen,,smoking,palenie,o,1,
vojaĝo,,Reise,,travel,podróż,o,1,
vojaĝado,,Reisen,,travelling,podróżowanie,o,1,
